,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,AXP,163.1000,164.5000,162.2000,162.63,2764960,
2021-09-17,AXP,161.5700,164.2500,161.5700,163.92,6395518,0.7932115845784793
2021-09-20,AXP,159.3600,162.1400,157.9500,160.57,5976863,-2.0436798438262516
2021-09-21,AXP,161.9100,165.3500,161.6900,163.27,3480657,1.681509621971733
2021-09-22,AXP,165.6200,168.6200,164.9000,167.49,3562920,2.584675690573901
2021-09-23,AXP,169.4900,174.1000,169.3100,173.36,4399234,3.504686846975935
2021-09-24,AXP,173.3700,176.0000,173.3000,175.72,2680362,1.361329026303637
2021-09-27,AXP,177.6700,178.8000,176.3300,176.77,3703294,0.5975415433644438
2021-09-28,AXP,175.4900,177.2400,172.6850,173.14,3862445,-2.0535158680771715
2021-09-29,AXP,172.8900,172.9800,170.4000,171.54,2726147,-0.924107658542217
2021-09-30,AXP,172.1800,172.3600,167.4100,167.53,3091993,-2.3376471959892675
2021-10-01,AXP,168.5000,175.1200,168.4800,173.94,3956002,3.8261803856025844
2021-10-04,AXP,173.8800,177.2300,171.8800,172.66,3613872,-0.7358859376796589
2021-10-05,AXP,173.4300,176.0600,172.6400,174.76,2629648,1.2162631761843956
2021-10-06,AXP,172.5500,174.9000,169.9000,173.4,2922239,-0.7782101167315036
2021-10-07,AXP,175.5000,176.8681,173.7000,174.29,3578801,0.513264129181068
2021-10-08,AXP,173.8500,176.9800,173.5300,175.15,2375299,0.49343048941419276
2021-10-11,AXP,175.7900,176.7900,173.3300,173.46,2499347,-0.9648872395089936
2021-10-12,AXP,173.6100,176.5600,173.1000,174.91,3069585,0.8359275913755182
2021-10-13,AXP,172.7800,174.0861,167.0800,168.72,5608682,-3.538962895203246
2021-10-14,AXP,171.0000,172.3800,169.8100,171.51,3062078,1.6536273115220546
2021-10-15,AXP,173.7700,177.7700,173.1500,175.81,3043939,2.507142440674026
2021-10-18,AXP,175.5800,177.6050,174.3300,176.82,2623346,0.5744838177577982
2021-10-19,AXP,177.7300,178.0000,176.2600,177.31,1400085,0.27711797307996555
2021-10-20,AXP,176.9500,179.7700,176.2100,179.6,2398543,1.2915233207376975
2021-10-21,AXP,179.5800,179.7900,176.0100,177.47,3313778,-1.1859688195991036
2021-10-22,AXP,185.0000,189.0300,182.2000,187.08,6026087,5.414999718262248
2021-10-25,AXP,186.7300,187.2100,181.8300,182.31,3889567,-2.549711353431694
2021-10-26,AXP,183.4200,183.5000,177.5200,180.95,3832409,-0.7459821183698145
2021-10-27,AXP,180.1000,183.7300,177.9100,178.03,3309864,-1.6137054434926745
2021-10-28,AXP,178.4000,179.2271,173.0200,174.61,4865738,-1.9210245464247544
2021-10-29,AXP,175.6300,176.6700,173.0400,173.78,3455385,-0.47534505469332133
2021-11-01,AXP,174.5800,176.0700,173.3400,174.21,2233244,0.2474392910576606
2021-11-02,AXP,175.0000,175.2000,172.5700,173.17,3247875,-0.5969806555306878
2021-11-03,AXP,172.7000,173.8300,171.7500,172.61,3831399,-0.32338164809145864
2021-11-04,AXP,172.1300,174.0200,171.6600,172.53,3315441,-0.04634725682174379
2021-11-05,AXP,176.1800,177.7900,175.3500,176.69,3935961,2.4111748681388656
2021-11-08,AXP,178.0700,182.0900,177.7900,180.05,3391950,1.901635633029608
2021-11-09,AXP,179.7600,181.1900,178.4300,179.86,3016194,-0.10552624271035205
2021-11-10,AXP,179.3600,183.4800,179.3600,181.39,3296683,0.8506616257088595
2021-11-11,AXP,181.9900,182.7300,180.7400,181.3,2120041,-0.04961684767625929
2021-11-12,AXP,180.7100,182.3800,179.6500,181.89,2348216,0.32542746828458924
2021-11-15,AXP,182.5300,183.9300,182.0400,183.13,1748578,0.681730716367035
2021-11-16,AXP,183.4000,183.4000,179.7400,180.92,3299192,-1.2067929885873463
2021-11-17,AXP,181.1800,181.7400,178.2000,179.61,3543517,-0.7240769400839953
2021-11-18,AXP,180.0000,180.3700,175.8400,176.21,4015517,-1.892990368019598
2021-11-19,AXP,173.7300,175.2650,171.8400,173.54,4456843,-1.5152375007093877
2021-11-22,AXP,174.9900,175.2500,170.8900,170.9,4653291,-1.521263109369586
2021-11-23,AXP,171.3000,171.9500,167.8300,170.85,5890532,-0.029256875365712975
2021-11-24,AXP,168.4800,171.9800,167.9000,171.61,3590757,0.4448346502780254
2021-11-26,AXP,165.0900,165.2400,154.4950,156.82,6804152,-8.61837888234952
2021-11-29,AXP,160.7500,161.4100,154.3401,157.86,6258548,0.6631807167453152
2021-11-30,AXP,155.0900,155.8700,151.7000,152.3,7444938,-3.5221081971367085
2021-12-01,AXP,156.1000,157.0700,149.8900,150.06,6159348,-1.4707813525935753
2021-12-02,AXP,151.6800,157.9100,151.4600,156.77,6289250,4.471544715447151
2021-12-03,AXP,158.0800,158.3300,153.6300,155.94,4069252,-0.5294380302353852
2021-12-06,AXP,159.0700,162.7400,158.0500,160.68,4141873,3.0396306271643025
2021-12-07,AXP,164.5000,169.1600,164.1600,166.95,5124476,3.902165795369661
2021-12-08,AXP,167.9800,170.5400,167.2800,168.93,4042446,1.1859838274932644
2021-12-09,AXP,167.8500,168.8299,166.5500,168.02,2245342,-0.5386846622861485
2021-12-10,AXP,169.3800,170.5800,165.9600,167.03,2768512,-0.5892155695750523
2021-12-13,AXP,166.4000,166.4000,161.9937,163.3,3477606,-2.2331317727354305
2021-12-14,AXP,162.1400,165.2600,161.0600,162.85,2964201,-0.27556644213105885
2021-12-15,AXP,162.7100,163.0500,158.5300,162.24,5012982,-0.374577832361056
2021-12-16,AXP,164.0000,165.1800,161.9000,163.0,4900140,0.4684418145956659
2021-12-17,AXP,161.0000,161.3150,156.9500,160.01,9581837,-1.8343558282208683
2021-12-20,AXP,157.0000,158.2100,153.7800,155.89,3839553,-2.574839072557966
2021-12-21,AXP,157.7500,161.0500,157.5201,160.91,3722732,3.220219385464107
2021-12-22,AXP,160.5300,163.1700,160.4500,162.47,2877654,0.9694860481014311
2021-12-23,AXP,163.8600,166.3963,163.5900,164.19,3140482,1.0586569828275882
