,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,BAC,40.4800,40.8100,40.1950,40.45,42922048,
2021-09-17,BAC,40.3400,40.6650,40.0800,40.5,92752611,0.12360939431395046
2021-09-20,BAC,39.3800,39.4600,38.3600,39.11,67566156,-3.432098765432101
2021-09-21,BAC,39.2700,39.6000,38.9350,39.13,38271079,0.051137816415236514
2021-09-22,BAC,39.7500,40.5200,39.7500,40.14,46261392,2.581139790442122
2021-09-23,BAC,40.7600,41.8750,40.6500,41.69,49779810,3.8614848031888416
2021-09-24,BAC,41.7200,42.3400,41.6500,42.14,39042262,1.079395538498451
2021-09-27,BAC,42.6800,43.4300,42.6400,43.26,49755388,2.657807308970095
2021-09-28,BAC,43.4300,44.0400,43.0600,43.16,60781198,-0.23116042533518621
2021-09-29,BAC,43.1800,43.3200,42.7400,43.07,44260237,-0.20852641334567767
2021-09-30,BAC,43.3500,43.3500,42.2300,42.45,47410812,-1.4395170652426237
2021-10-01,BAC,42.4800,43.4300,42.3900,43.08,40987055,1.4840989399293125
2021-10-04,BAC,43.1100,44.0650,43.0700,43.34,48273432,0.6035283194057772
2021-10-05,BAC,43.7700,44.7500,43.6700,44.22,54070663,2.030456852791862
2021-10-06,BAC,43.8500,44.2900,43.5500,44.24,47031650,0.04522840343736956
2021-10-07,BAC,44.7900,44.8700,44.0300,44.12,46258843,-0.2712477396021762
2021-10-08,BAC,44.0700,44.8100,43.9200,44.34,39389385,0.49864007252948817
2021-10-11,BAC,44.6000,44.8050,43.7500,43.78,36283507,-1.2629679747406475
2021-10-12,BAC,43.6700,44.0000,43.2700,43.54,36898283,-0.5481955230698943
2021-10-13,BAC,43.5500,43.6350,42.3300,43.14,43907977,-0.9186954524575075
2021-10-14,BAC,44.3700,45.1000,43.4800,45.07,82201013,4.473806212331932
2021-10-15,BAC,45.7700,46.6700,45.3600,46.37,64264903,2.8844020412691407
2021-10-18,BAC,46.2900,46.8900,46.0301,46.28,49542471,-0.19409100711665905
2021-10-19,BAC,46.5000,46.6250,46.2000,46.48,32515486,0.4321521175453702
2021-10-20,BAC,46.4900,47.2400,46.0500,47.09,40410994,1.3123924268502618
2021-10-21,BAC,47.1000,47.4800,46.6100,46.83,36848582,-0.5521342110851646
2021-10-22,BAC,46.9900,47.6150,46.9900,47.57,36225598,1.580183642963906
2021-10-25,BAC,47.8000,47.9800,47.2000,47.51,31679516,-0.12612991381123484
2021-10-26,BAC,47.6600,48.4250,47.4400,47.96,35674753,0.9471690170490543
2021-10-27,BAC,47.4800,48.1693,47.0250,47.04,45790789,-1.9182652210175233
2021-10-28,BAC,47.5900,48.0000,47.3000,47.78,37209574,1.5731292517006779
2021-10-29,BAC,47.7500,48.1300,47.5200,47.78,31756195,0.0
2021-11-01,BAC,48.1000,48.1700,47.2800,47.85,36762106,0.14650481372959767
2021-11-02,BAC,47.5700,48.4200,47.3500,47.88,36120876,0.06269592476488839
