,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,C,71.0300,71.1800,69.9900,70.0,19245376,
2021-09-17,C,69.7700,70.5800,69.6600,69.96,30775999,-0.05714285714286671
2021-09-20,C,68.0500,68.1700,65.9650,67.3,36955380,-3.8021726700971925
2021-09-21,C,67.6500,67.7400,66.5200,66.94,21169878,-0.5349182763744409
2021-09-22,C,67.8850,69.1700,67.7900,68.24,21160214,1.9420376456528166
2021-09-23,C,69.2103,71.3899,69.0000,70.88,21439181,3.86869871043376
2021-09-24,C,70.7100,71.5850,70.7100,71.18,15788389,0.4232505643340989
2021-09-27,C,71.8450,72.6100,71.7500,72.26,19857527,1.5172801348693365
2021-09-28,C,72.4700,73.2800,71.2400,71.37,20834995,-1.2316634375864943
2021-09-29,C,71.6900,71.8150,70.9800,71.53,13683888,0.22418383074120918
2021-09-30,C,71.6300,71.7000,69.9500,70.18,22094078,-1.8873200055920525
2021-10-01,C,70.4400,71.6800,70.0900,71.18,23701927,1.424907381020235
2021-10-04,C,71.0800,72.9800,70.8450,71.29,18957221,0.15453779151446412
2021-10-05,C,71.7600,72.9300,71.3250,72.53,15587208,1.7393743863094224
2021-10-06,C,71.9200,72.6100,71.0150,72.42,15997217,-0.15166138149731445
2021-10-07,C,73.0100,73.3500,72.0450,72.19,15349929,-0.317591825462582
2021-10-08,C,71.8500,72.8050,71.5100,72.35,11960710,0.22163734589277784
2021-10-11,C,72.7000,73.7250,71.6100,71.68,14985510,-0.9260539046302529
2021-10-12,C,71.5400,71.9374,70.4350,70.64,17593423,-1.4508928571428603
2021-10-13,C,70.5500,70.5800,68.7400,70.26,23457998,-0.5379388448471079
2021-10-14,C,71.0700,71.2658,69.7200,70.8,24709427,0.7685738684884535
2021-10-15,C,71.8200,73.2200,71.5100,72.29,21884484,2.1045197740113153
2021-10-18,C,72.0700,72.5500,71.4000,71.61,15026061,-0.9406556923502674
2021-10-19,C,72.2500,72.5000,71.2600,71.76,15173943,0.20946795140344143
2021-10-20,C,71.5600,72.2800,70.8100,71.82,14350389,0.08361204013376256
2021-10-21,C,71.2600,71.8300,70.0130,70.51,18519004,-1.8240044555833834
2021-10-22,C,70.7700,71.8850,70.6800,71.37,14625109,1.2196851510424045
2021-10-25,C,71.5800,71.8500,70.7050,70.83,15102967,-0.7566204287515865
2021-10-26,C,71.0000,71.6100,70.6100,70.65,18647866,-0.2541296060990961
2021-10-27,C,70.5100,70.7101,69.3100,70.31,25475854,-0.48124557678698165
2021-10-28,C,70.7800,71.3200,70.2800,70.88,16367815,0.8106954913952302
2021-10-29,C,70.4800,70.6100,68.9700,69.16,22402964,-2.426636568848761
2021-11-01,C,69.9300,69.9300,69.0300,69.61,19020648,0.6506651243493478
2021-11-02,C,69.5300,69.6300,68.5400,68.6,25321396,-1.4509409567590947
2021-11-03,C,68.3000,69.5800,68.0900,69.0,21755610,0.5830903790087438
2021-11-04,C,68.7500,68.7700,66.5200,67.0,32148927,-2.898550724637683
2021-11-05,C,67.8200,67.9900,66.9500,66.99,20902614,-0.014925373134333508
2021-11-08,C,67.8900,69.0200,67.3700,68.45,25121988,2.1794297656366757
2021-11-09,C,67.7800,68.2519,67.4400,67.99,18402938,-0.672023374726094
2021-11-10,C,68.1200,68.4400,67.7100,68.21,19290161,0.32357699661715866
2021-11-11,C,68.2600,69.1800,68.1698,68.87,20296239,0.9676000586424482
2021-11-12,C,69.0000,69.1700,68.3000,69.16,13769438,0.4210832002323084
2021-11-15,C,69.4300,69.6700,68.5400,68.74,12965070,-0.6072874493927127
2021-11-16,C,68.7800,68.7800,67.3000,67.74,19042781,-1.4547570555717204
2021-11-17,C,67.6600,67.6900,66.7700,66.85,16468270,-1.3138470622970244
2021-11-18,C,66.7100,67.1500,66.2000,67.11,14994678,0.3889304412864725
2021-11-19,C,66.1200,66.4202,65.2300,66.34,19775842,-1.1473699895693579
2021-11-22,C,67.9600,68.1100,66.8000,67.04,24020517,1.0551703346397323
2021-11-23,C,67.5700,68.3700,67.1100,68.07,18146675,1.5363961813842364
2021-11-24,C,68.0000,68.0600,67.2300,67.28,14975544,-1.1605700014690634
2021-11-26,C,65.0100,65.7400,63.8094,65.5,24541970,-2.645659928656363
2021-11-29,C,65.9900,66.2900,64.4600,65.04,24340695,-0.7022900763358653
2021-11-30,C,64.3200,64.8100,63.3550,63.7,35574034,-2.060270602706027
2021-12-01,C,64.6600,65.0900,62.5000,62.52,27395503,-1.8524332810047062
2021-12-02,C,63.3400,64.2700,62.7600,63.81,24890732,2.0633397312859847
2021-12-03,C,63.7400,64.1200,62.4300,62.76,25458734,-1.64551010813353
2021-12-06,C,62.9400,63.5700,62.1400,62.52,25105474,-0.3824091778202643
2021-12-07,C,62.9500,63.3500,62.3200,62.9,28301236,0.607805502239267
2021-12-08,C,63.0200,63.1600,62.3500,62.46,20697188,-0.6995230524642237
2021-12-09,C,61.8700,62.5000,60.8520,62.14,29960511,-0.5123278898495065
2021-12-10,C,61.6800,62.2600,60.2000,60.71,39726518,-2.3012552301255207
2021-12-13,C,60.4900,60.8700,59.7750,60.18,20489526,-0.8730028001976642
2021-12-14,C,60.4500,61.3200,60.3800,60.64,19571123,0.764373546028585
2021-12-15,C,60.9400,61.0100,59.5400,60.24,33861276,-0.659630606860151
2021-12-16,C,61.1000,61.9100,60.8200,61.07,25688279,1.3778220451527101
2021-12-17,C,60.2700,60.5000,58.9600,59.54,47416067,-2.50532176191256
2021-12-20,C,58.6000,58.7300,57.5900,58.28,31619606,-2.1162243869667363
2021-12-21,C,58.7350,59.8600,58.6500,59.38,23175147,1.8874399450926616
2021-12-22,C,59.3100,59.9400,59.1000,59.6,14760605,0.37049511620073083
