,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,GS,404.5200,405.9800,394.8900,396.68,2882949,
2021-09-17,GS,396.3200,399.1600,388.8300,391.46,3845123,-1.3159221538771915
2021-09-20,GS,377.8200,380.8600,372.5000,378.13,3834484,-3.4052010422520818
2021-09-21,GS,380.8500,381.5000,374.0800,375.84,2377286,-0.605611826620478
2021-09-22,GS,380.8000,389.2900,379.7100,385.47,2991275,2.562260536398475
2021-09-23,GS,390.3900,393.7400,388.1800,391.86,2517987,1.6577165538174121
2021-09-24,GS,390.4700,392.4900,388.6000,390.85,1789664,-0.2577451130505781
2021-09-27,GS,396.5800,401.0000,395.1800,399.81,2788509,2.2924395548164167
2021-09-28,GS,400.4500,404.2100,388.3900,389.5,2608961,-2.578724894324802
2021-09-29,GS,390.6800,392.3900,384.3000,384.89,1955033,-1.1835686777920462
2021-09-30,GS,388.0000,388.0200,376.6200,378.03,2668590,-1.782327418223395
2021-10-01,GS,379.4400,382.7200,375.8450,380.0,2382303,0.5211226622225729
2021-10-04,GS,380.2100,386.8700,372.8200,374.15,2895551,-1.539473684210535
2021-10-05,GS,378.1000,388.2200,375.5000,385.81,2508430,3.1163971669116775
2021-10-06,GS,382.3800,389.5500,378.6600,388.05,2111769,0.5805966667530749
2021-10-07,GS,392.9100,397.8500,389.7600,390.62,2348003,0.6622857879139188
2021-10-08,GS,390.8300,394.3100,388.1800,392.81,1446728,0.5606471762838572
2021-10-11,GS,392.9000,396.9500,385.0200,385.24,1787360,-1.927140347750822
2021-10-12,GS,386.2200,388.5900,381.0200,386.53,2088229,0.33485619354167717
2021-10-13,GS,388.0000,388.3809,378.6250,386.31,2392607,-0.05691666882259305
2021-10-14,GS,392.0000,393.6600,382.2000,391.2,3380905,1.2658227848101333
2021-10-15,GS,402.3100,407.2720,396.3400,406.07,6451387,3.801124744376283
2021-10-18,GS,408.0100,415.9400,407.6000,413.69,3832324,1.8765237520624645
2021-10-19,GS,415.1800,415.8500,409.6900,412.16,2568325,-0.36984215233628603
2021-10-20,GS,411.0000,414.3300,406.1950,407.89,2453437,-1.0360054347826164
2021-10-21,GS,406.8000,412.6600,404.6150,407.59,2162127,-0.07354924121699691
2021-10-22,GS,409.9900,415.3600,409.1000,414.32,2411032,1.6511690669545498
2021-10-25,GS,416.2100,419.4900,413.2700,414.75,1824667,0.10378451438501912
2021-10-26,GS,416.3700,419.8100,413.7600,417.61,1843341,0.6895720313441878
2021-10-27,GS,416.5500,418.0600,410.5500,410.99,2067219,-1.585211082110105
2021-10-28,GS,412.0000,414.9200,409.0600,414.82,1444653,0.9318961531910697
2021-10-29,GS,414.0200,415.9600,411.1800,413.35,2061716,-0.3543705703678679
2021-11-01,GS,417.0700,418.7300,413.2480,416.7,1731493,0.8104511914841961
