,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,JPM,159.4100,160.8550,157.2200,158.09,10880895,
2021-09-17,JPM,157.3800,159.0100,157.0000,157.68,25608018,-0.25934594218482987
2021-09-20,JPM,153.8900,154.5600,150.4900,152.96,15819905,-2.9934043632673712
2021-09-21,JPM,153.5300,154.5500,152.5774,152.98,8999860,0.01307531380752014
2021-09-22,JPM,155.2000,157.2500,155.1000,155.91,11236150,1.9152830435350987
2021-09-23,JPM,158.0000,161.7100,157.6700,161.18,12336136,3.380155217753833
2021-09-24,JPM,161.4400,163.5900,160.8200,163.04,10102432,1.153989328700833
2021-09-27,JPM,165.0000,167.4000,164.6100,166.98,13220871,2.4165848871442686
2021-09-28,JPM,167.7000,169.3000,165.6600,166.08,13387886,-0.5389867049945929
2021-09-29,JPM,166.2100,166.9000,165.0400,165.95,7777078,-0.07827552986513497
2021-09-30,JPM,166.9200,166.9900,162.7900,163.69,13168016,-1.361855980717075
2021-10-01,JPM,164.0000,168.3000,163.6000,167.13,11284976,2.101533386278942
2021-10-04,JPM,166.9700,170.4370,165.7300,166.95,14120044,-0.1077005923532659
2021-10-05,JPM,167.2100,170.1400,166.6700,168.66,12292877,1.0242587601078323
2021-10-06,JPM,167.9900,169.1000,166.0000,169.02,8692607,0.2134471718249875
2021-10-07,JPM,171.2000,171.5100,169.5400,170.09,10195443,0.6330611761921734
2021-10-08,JPM,170.0200,171.3400,169.2950,170.22,8190144,0.07643012522782211
2021-10-11,JPM,170.8000,171.2900,166.4600,166.64,12154737,-2.103160615673838
2021-10-12,JPM,165.7500,166.6898,164.7700,165.36,13032633,-0.7681228996639256
2021-10-13,JPM,164.0700,165.4100,160.6000,161.0,22753485,-2.6366715045960443
2021-10-14,JPM,161.7500,164.0100,160.0600,163.47,15180727,1.534161490683239
2021-10-15,JPM,165.3500,167.1700,164.1400,166.61,14267441,1.9208417446626491
2021-10-18,JPM,166.4800,168.6084,165.9100,166.55,12672909,-0.03601224416301951
2021-10-19,JPM,167.4000,168.6500,166.5800,168.57,8053949,1.2128489942959897
2021-10-20,JPM,168.3000,170.8700,167.4600,170.84,8185565,1.3466215815388427
2021-10-21,JPM,170.7550,171.3293,168.6800,169.5,8415166,-0.784359634745968
2021-10-22,JPM,170.0300,172.0900,169.7000,171.78,8817895,1.3451327433628313
2021-10-25,JPM,172.7100,172.9600,170.4800,170.94,10159202,-0.4889975550122272
2021-10-26,JPM,171.0000,172.4902,170.5400,171.4,8015067,0.2691002691002753
2021-10-27,JPM,170.3200,170.7000,167.3400,167.83,9846993,-2.0828471411901917
2021-10-28,JPM,168.3000,170.5100,167.9600,170.36,7212937,1.507477804921642
2021-10-29,JPM,171.1800,172.2400,169.3900,169.89,8140070,-0.27588635830008146
2021-11-01,JPM,172.0400,172.3300,169.0050,169.8,7363210,-0.052975454705972425
2021-11-02,JPM,169.8000,171.6900,168.9200,170.47,7072025,0.3945818610129548
2021-11-03,JPM,170.1300,171.1300,169.1500,170.53,8402685,0.0351968088226684
2021-11-04,JPM,170.0000,170.2000,166.4901,168.29,9574152,-1.3135518677065638
2021-11-05,JPM,168.9000,170.0900,167.4100,168.05,7975570,-0.14261096916036164
2021-11-08,JPM,169.0500,170.9200,168.7400,169.06,6413707,0.601011603689372
2021-11-09,JPM,167.3500,168.4700,166.5950,167.78,7620477,-0.7571276469892307
2021-11-10,JPM,167.4500,168.9500,167.0900,167.62,6999214,-0.09536297532483085
2021-11-11,JPM,167.5200,168.6800,166.9000,167.61,5815267,-0.005965875193880699
2021-11-12,JPM,167.6500,167.7400,165.7200,166.86,7974426,-0.4474673348845548
2021-11-15,JPM,167.2100,167.7850,166.0000,166.56,6492463,-0.1797914419273683
2021-11-16,JPM,167.0600,167.0700,165.1200,165.36,9706145,-0.720461095100855
2021-11-17,JPM,165.2100,165.5600,163.3900,164.47,9909576,-0.5382196419932317
2021-11-18,JPM,164.3900,164.8500,162.5600,163.05,8123567,-0.8633793396972012
2021-11-19,JPM,161.3000,162.1100,159.4500,160.92,12193634,-1.3063477460901751
2021-11-22,JPM,164.1600,165.9800,162.9900,164.35,14551672,2.1314939100174124
2021-11-23,JPM,165.5000,168.5550,165.3700,168.28,12362344,2.391238211134783
2021-11-24,JPM,168.4600,169.4400,166.4400,166.96,9629790,-0.7844069408129317
2021-11-26,JPM,162.1400,162.6500,158.8200,161.93,13619276,-3.0126976521322457
2021-11-29,JPM,163.3100,164.7800,159.8170,161.23,12104369,-0.43228555548694425
2021-11-30,JPM,159.1550,160.6300,158.2900,158.83,18922616,-1.488556720213341
2021-12-01,JPM,161.0000,163.2700,157.8000,157.89,12258685,-0.5918277403513361
2021-12-02,JPM,159.8300,163.2500,158.8000,161.21,12969926,2.10272974855914
2021-12-03,JPM,161.5000,161.8290,157.1900,158.29,12681765,-1.8113020284101555
2021-12-06,JPM,161.0100,162.6100,159.4600,160.16,11186493,1.1813759555246772
2021-12-07,JPM,161.8800,163.3900,161.1600,162.57,9851554,1.5047452547452433
2021-12-08,JPM,162.6600,163.2700,160.1700,160.71,11705673,-1.1441225318324366
2021-12-09,JPM,159.6500,160.9300,158.6500,160.46,11189642,-0.15555970381432305
2021-12-10,JPM,161.3200,161.7020,159.1300,159.82,10405374,-0.39885329677179504
2021-12-13,JPM,159.5000,159.7900,157.2846,157.92,12068987,-1.1888374421223924
2021-12-14,JPM,157.4500,160.8900,157.3000,159.13,12563560,0.7662107396150031
2021-12-15,JPM,159.8500,159.8500,157.3500,157.94,14014167,-0.7478162508640751
2021-12-16,JPM,160.3900,161.8250,158.7000,160.41,19542759,1.5638850196276977
2021-12-17,JPM,159.3150,159.3800,155.1800,156.76,28138027,-2.2754192382021143
2021-12-20,JPM,154.5100,154.7000,151.8400,153.94,15147982,-1.7989282980352073
2021-12-21,JPM,155.4100,157.1800,155.0900,156.09,11291338,1.3966480446927498
2021-12-22,JPM,155.7500,157.0550,155.2400,156.7,7272989,0.39080017938368794
2021-12-23,JPM,157.6100,159.1200,157.2100,157.26,8055154,0.35737077217612434
2021-12-27,JPM,157.6000,158.2000,156.3400,158.16,6189234,0.5723006486074045
2021-12-28,JPM,158.2000,160.1500,158.0800,158.64,6342743,0.3034901365705611
2021-12-29,JPM,158.8500,159.6300,158.1500,158.56,6398927,-0.05042864346948006
2021-12-30,JPM,159.1100,160.2400,158.3700,158.48,6948171,-0.05045408678103769
2021-12-31,JPM,158.4500,159.2900,157.9600,158.35,5724199,-0.08202927814234817
2022-01-03,JPM,159.8600,162.6400,159.5100,161.7,13128118,2.115566782443956
2022-01-04,JPM,164.3100,168.5800,164.2300,167.83,20195802,3.7909709338280972
2022-01-05,JPM,167.8200,168.3589,163.7300,163.78,17539410,-2.413156169933872
2022-01-06,JPM,166.9100,167.3700,163.8700,165.52,14047498,1.0624007815362102
2022-01-07,JPM,165.6650,167.5300,165.0600,167.16,13913345,0.9908168197196643
2022-01-10,JPM,169.0700,169.3100,165.5300,167.32,12922455,0.09571667863124134
2022-01-11,JPM,168.2600,168.5246,166.3100,167.49,11704529,0.10160172125270872
2022-01-12,JPM,168.4600,169.5900,167.1800,168.44,12568011,0.5671980416741329
2022-01-13,JPM,168.3400,169.8100,167.8900,168.23,13623418,-0.12467347423414932
2022-01-14,JPM,160.7600,161.0300,156.8950,157.89,40158362,-6.1463472626761
2022-01-18,JPM,155.7800,155.7800,150.5400,151.27,31450099,-4.192792450440164
2022-01-19,JPM,151.5700,152.2300,148.5500,148.93,22160010,-1.546902888874202
2022-01-20,JPM,148.9900,150.6100,147.3600,147.66,14860843,-0.8527496139125845
2022-01-21,JPM,147.5000,147.5100,144.2700,145.08,20705401,-1.7472572125152297
2022-01-24,JPM,142.2800,145.4800,139.5700,144.95,28503121,-0.08960573476703981
2022-01-25,JPM,143.6500,146.8500,140.7900,146.53,18915869,1.0900310451880113
2022-01-26,JPM,148.7200,150.5700,145.9600,147.92,20709097,0.9486112058963991
2022-01-27,JPM,149.4200,150.3800,144.1300,145.31,17544523,-1.7644672796105931
2022-01-28,JPM,144.1900,146.7600,142.1700,146.61,14116969,0.8946390475535138
2022-01-31,JPM,145.6400,148.7900,144.6700,148.6,13985745,1.3573426096446184
2022-02-01,JPM,148.6900,151.4700,148.3000,151.15,14584935,1.7160161507402405
2022-02-02,JPM,150.5000,150.9400,148.0700,149.94,12441136,-0.800529275554096
2022-02-03,JPM,150.0000,151.6500,148.2850,148.7,12474882,-0.8269974656529344
2022-02-04,JPM,149.1000,153.5000,148.7673,152.56,16654409,2.595830531271015
2022-02-07,JPM,153.2700,153.6200,150.8500,153.07,12572283,0.33429470372312586
2022-02-08,JPM,155.0000,158.4800,154.8000,155.95,20411387,1.8814921277846786
2022-02-09,JPM,156.5900,157.4305,155.8200,156.6,9131135,0.41680025649246666
2022-02-10,JPM,156.6600,159.0300,155.2200,155.95,16455635,-0.41507024265645676
2022-02-11,JPM,155.6100,158.1900,152.9700,153.92,16830005,-1.3016992625841661
2022-02-14,JPM,152.7300,153.6800,150.3178,152.49,17026491,-0.9290540540540349
2022-02-15,JPM,154.5100,155.9400,153.8500,154.72,9500867,1.4623909764574616
2022-02-16,JPM,153.7400,156.1000,153.7400,155.0,9076526,0.18097207859359976
2022-02-17,JPM,153.0000,153.7300,150.6650,151.43,11367457,-2.303225806451603
2022-02-18,JPM,152.1300,154.1400,151.1300,152.14,11733315,0.4688635012877196
2022-02-22,JPM,150.6000,153.2400,150.4100,151.87,11218553,-0.17746812146706148
2022-02-23,JPM,153.1200,153.3000,147.9700,148.69,11799031,-2.093896095344705
2022-02-24,JPM,142.9400,144.9900,139.7800,144.55,25655100,-2.7843163629026724
2022-02-25,JPM,145.2500,150.1269,144.9100,147.97,18367679,2.365963334486332
2022-02-28,JPM,143.5500,145.0600,140.8800,141.8,31315344,-4.169764141380005
2022-03-01,JPM,140.0400,140.4800,133.5800,136.45,36840448,-3.772919605077585
2022-03-02,JPM,137.2900,140.0400,136.6076,139.28,19405581,2.074019787467951
2022-03-03,JPM,139.8400,140.9800,137.0600,138.29,16640804,-0.7107983917288951
2022-03-04,JPM,134.9400,135.4200,132.4000,134.4,21020675,-2.8129293513630693
2022-03-07,JPM,132.1700,132.6900,128.9513,129.21,27560052,-3.8616071428571375
2022-03-08,JPM,129.6400,131.7900,127.2700,128.3,19207816,-0.7042798545004225
2022-03-09,JPM,132.9000,135.2400,132.4400,133.44,17536202,4.006235385814483
2022-03-10,JPM,131.8600,133.4500,130.3250,131.86,15604247,-1.184052757793752
2022-03-11,JPM,132.4850,134.0800,128.4249,128.89,20061789,-2.2523888973153494
2022-03-14,JPM,129.4600,132.9200,129.2300,130.17,15786898,0.993094887113033
2022-03-15,JPM,131.8000,133.5500,131.1300,132.48,15096604,1.7746024429592167
2022-03-16,JPM,134.8700,138.4900,134.4300,138.4,20354896,4.468599033816445
2022-03-17,JPM,136.8600,140.1900,135.9205,140.15,17050454,1.264450867052025
2022-03-18,JPM,140.1900,140.8500,138.4600,140.1,22981425,-0.035676061362832634
2022-03-21,JPM,140.3500,140.7600,138.7301,139.65,12407732,-0.32119914346894207
2022-03-22,JPM,142.2700,143.9300,141.7202,142.62,13298395,2.1267454350161197
2022-03-23,JPM,140.9800,141.5850,139.1999,139.78,12093218,-1.9913055672416191
2022-03-24,JPM,140.3000,140.7100,139.1100,140.69,10017625,0.6510230361997493
2022-03-25,JPM,141.0900,143.1800,140.8000,141.92,8186674,0.8742625630819401
2022-03-28,JPM,140.0000,140.9700,137.8950,140.87,10818077,-0.7398534385569255
2022-03-29,JPM,143.3500,143.5950,140.2400,141.18,11316503,0.2200610491942978
2022-03-30,JPM,141.9000,142.1200,139.9100,140.54,8771027,-0.45332200028334046
2022-03-31,JPM,139.8300,140.3450,136.2600,136.32,17353942,-3.0027038565532904
2022-04-01,JPM,137.4000,137.4100,133.8000,135.31,15721297,-0.7409037558685383
2022-04-04,JPM,134.1200,136.9400,132.8900,135.91,17422937,0.44342620648880615
2022-04-05,JPM,134.0700,135.4000,133.0100,133.34,11926484,-1.8909572511220607
2022-04-06,JPM,131.5800,132.5600,130.9600,131.49,12914733,-1.3874306284685778
2022-04-07,JPM,130.9500,131.9200,128.7300,131.09,12994231,-0.3042056430146767
2022-04-08,JPM,131.6700,133.9000,131.4900,133.49,13126938,1.8308032649325012
2022-04-11,JPM,133.0000,134.9000,132.5700,133.0,10466429,-0.36706869428422273
2022-04-12,JPM,132.1400,134.5800,130.7000,131.54,12989862,-1.0977443609022641
2022-04-13,JPM,126.9400,129.2500,126.0100,127.3,30838027,-3.2233541128173893
2022-04-14,JPM,126.5000,128.3000,125.0200,126.12,18835190,-0.9269442262372252
2022-04-18,JPM,125.6700,129.2400,125.5400,128.46,11834444,1.8553758325404512
