,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,MA,345.4100,347.6800,344.6900,346.31,3771291,
2021-09-17,MA,344.0000,345.9999,340.7700,343.04,5529836,-0.9442407091911798
2021-09-20,MA,338.3200,341.1100,335.6200,339.69,3956645,-0.9765625000000111
2021-09-21,MA,342.2000,343.1800,337.2800,337.38,2967251,-0.6800317936942468
2021-09-22,MA,339.3000,343.8700,338.5400,343.41,3238824,1.7873021518762355
2021-09-23,MA,345.7400,354.7900,345.2000,354.07,4783236,3.1041612067208124
2021-09-24,MA,354.0300,359.9250,352.7642,358.16,3306211,1.1551388143587582
2021-09-27,MA,357.0500,362.5899,355.1600,356.77,4157955,-0.38809470627653164
2021-09-28,MA,355.5000,356.0000,349.0500,351.18,3266995,-1.5668357765507124
2021-09-29,MA,352.8100,357.1800,352.4100,353.19,2808806,0.5723560567230557
2021-09-30,MA,354.7400,356.0000,347.4000,347.68,4393567,-1.5600668195588696
2021-10-01,MA,349.8300,363.1800,347.1600,360.18,5227260,3.595260009203871
2021-10-04,MA,359.9300,360.6500,339.3400,344.2,7901488,-4.436670553612087
2021-10-05,MA,347.5600,348.5650,342.9300,343.21,4724056,-0.28762347472399696
2021-10-06,MA,340.0100,348.8800,339.1100,348.69,3711983,1.596690073133078
2021-10-07,MA,349.0000,357.9000,349.0000,353.91,3209227,1.4970317473974148
2021-10-08,MA,356.0000,360.3700,354.2100,354.96,2336909,0.2966855980333749
2021-10-11,MA,353.9500,354.8800,346.9000,347.15,2769768,-2.200247915258058
2021-10-12,MA,348.6500,350.0000,344.6200,345.34,3042883,-0.5213884487973552
2021-10-13,MA,346.2500,349.4990,336.9800,342.35,3755921,-0.8658134012856755
2021-10-14,MA,343.8400,345.8100,340.8300,344.58,4085934,0.6513801664962626
2021-10-15,MA,349.0000,356.6068,347.7400,356.0,4053607,3.314179580939114
2021-10-18,MA,353.9600,359.9400,350.2341,358.44,3280888,0.6853932584269584
2021-10-19,MA,358.4000,362.2900,357.6050,362.1,2835441,1.021091396049556
2021-10-20,MA,361.7000,362.4894,356.0000,356.77,2796212,-1.47196906931788
2021-10-21,MA,354.6000,356.3800,347.2700,356.21,2516486,-0.15696387028056868
2021-10-22,MA,356.6800,361.6400,354.9000,358.67,2774374,0.6906038572752182
2021-10-25,MA,362.4600,364.3000,358.7925,360.86,2447944,0.6105891209189585
2021-10-26,MA,363.3800,367.3499,356.8100,357.32,3320059,-0.9809898575624976
2021-10-27,MA,348.0000,351.1200,333.8000,335.72,9652748,-6.045001679167128
2021-10-28,MA,344.1700,350.4900,328.8700,333.03,9505096,-0.8012629572262786
2021-10-29,MA,331.2400,338.1500,331.1100,335.52,5843696,0.7476803891541373
