,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,MS,103.5100,104.1700,101.7500,102.47,5881753,
2021-09-17,MS,102.1300,103.8900,101.4100,101.75,17653709,-0.7026446764906824
2021-09-20,MS,98.7500,99.2450,96.8650,98.63,15443775,-3.0663390663390744
2021-09-21,MS,99.4300,99.7300,97.9450,98.3,8985639,-0.33458379803305016
2021-09-22,MS,99.4300,101.8200,99.4300,100.8,9497667,2.5432349949135347
2021-09-23,MS,101.7600,103.9900,101.6000,103.55,6087912,2.7281746031746046
2021-09-24,MS,103.3900,104.1334,102.8100,102.91,5529301,-0.6180589087397381
2021-09-27,MS,103.8500,105.7550,103.8300,105.1,8195185,2.128073073559422
2021-09-28,MS,104.2700,105.9500,101.7200,102.04,14183501,-2.911512844909603
2021-09-29,MS,101.0800,101.6100,99.1100,99.55,11543020,-2.4402195217561817
2021-09-30,MS,100.2300,100.3800,96.2500,97.31,12262040,-2.250125565042682
2021-10-01,MS,97.9300,99.9050,97.0600,99.05,7912712,1.7880998869592046
2021-10-04,MS,99.0500,100.5100,96.9700,97.15,9482132,-1.9182231196365418
2021-10-05,MS,98.2200,99.7300,97.4700,99.2,8850464,2.1101389603705556
2021-10-06,MS,98.2150,99.4600,97.2200,99.1,6912658,-0.10080645161291146
2021-10-07,MS,100.5600,100.9200,98.6900,98.8,7959610,-0.3027245206861706
2021-10-08,MS,99.0200,100.6900,98.3900,100.04,5301079,1.25506072874495
2021-10-11,MS,100.0800,100.6800,97.2100,97.29,7003878,-2.7489004398240757
2021-10-12,MS,97.2900,98.7200,96.6900,97.78,7913336,0.5036488847774745
2021-10-13,MS,98.1200,99.1800,96.6800,98.57,10179995,0.8079361832685539
2021-10-14,MS,101.2200,101.5800,97.8100,101.01,14776644,2.475398194176748
2021-10-15,MS,102.4600,103.2200,101.8500,102.14,11678095,1.1187011187011153
2021-10-18,MS,101.7600,103.9367,100.5500,101.41,8924313,-0.7147053064421427
2021-10-19,MS,101.5500,102.4500,101.2974,101.75,6189542,0.3352726555566621
2021-10-20,MS,101.0800,101.9200,99.9300,100.66,7426858,-1.0712530712530755
2021-10-21,MS,100.3600,101.7500,99.5700,100.28,5931438,-0.3775084442678267
2021-10-22,MS,100.7400,102.2400,100.5700,101.8,6761528,1.5157558835261264
2021-10-25,MS,102.3000,102.7400,101.6600,101.91,3835990,0.1080550098231825
2021-10-26,MS,102.1200,103.9800,101.6900,103.47,7649543,1.5307624374448103
2021-10-27,MS,102.9700,103.8400,101.8250,101.87,7542440,-1.5463419348603402
2021-10-28,MS,101.8900,102.6300,100.8000,102.5,6663048,0.6184352606262822
2021-10-29,MS,102.1100,103.3100,101.9300,102.78,8057123,0.2731707317073173
2021-11-01,MS,103.8900,104.3299,102.6900,104.0,5371666,1.1870013621327002
2021-11-02,MS,103.9300,105.3350,103.3700,104.66,6902607,0.6346153846153779
2021-11-03,MS,104.3900,104.7300,101.8800,102.61,9008963,-1.9587234855723223
2021-11-04,MS,102.2300,102.3050,98.1700,99.79,14823768,-2.7482701491082673
2021-11-05,MS,101.3300,101.9800,99.7250,99.87,8449640,0.08016835354243135
2021-11-08,MS,100.4600,101.8000,99.9650,100.07,7332006,0.2002603384399615
2021-11-09,MS,99.4600,100.3100,98.2800,99.71,8725992,-0.3597481762766086
2021-11-10,MS,98.7400,99.6200,97.7200,97.77,9191535,-1.9456423628522734
2021-11-11,MS,98.0400,99.3100,97.4700,98.88,6249557,1.1353175820803862
2021-11-12,MS,99.2100,99.8900,98.0500,99.85,7239304,0.9809870550161692
2021-11-15,MS,100.0300,100.8000,99.9600,100.21,5652155,0.36054081121681403
2021-11-16,MS,100.0000,101.5600,99.5100,100.69,6448496,0.47899411236402845
2021-11-17,MS,100.5100,100.6300,97.3500,97.68,9670713,-2.9893733240639486
2021-11-18,MS,97.9300,98.2550,96.4900,97.68,6854567,0.0
2021-11-19,MS,96.2200,97.8800,94.9500,96.91,9926343,-0.7882882882882969
2021-11-22,MS,98.2900,100.5300,97.8200,99.32,10430440,2.486843463006916
2021-11-23,MS,100.3100,102.1300,100.1750,101.86,8565613,2.5573902537253446
2021-11-24,MS,101.8400,102.2300,100.1100,101.12,7146439,-0.726487335558601
2021-11-26,MS,98.0500,98.1600,95.8700,97.93,11738164,-3.154667721518989
2021-11-29,MS,99.0400,99.6000,95.9600,97.23,13793367,-0.7147962830593269
2021-11-30,MS,96.4300,96.4994,93.8800,94.82,20586246,-2.4786588501491402
2021-12-01,MS,96.9800,98.6100,95.2600,95.26,11712912,0.46403712296985145
2021-12-02,MS,96.0000,99.7500,95.3017,98.86,10685797,3.7791307999160084
2021-12-03,MS,100.0400,100.8700,96.8500,98.21,9811816,-0.6574954481084472
