,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,SCHW,71.3700,71.9600,70.3700,70.78,3054727,
2021-09-17,SCHW,70.2800,70.9299,69.8200,70.43,10256759,-0.4944899689177662
2021-09-20,SCHW,68.6400,68.9700,67.3101,68.8,5848645,-2.314354678404107
2021-09-21,SCHW,69.2300,69.4200,68.1250,68.44,4243054,-0.5232558139534826
2021-09-22,SCHW,69.4600,71.1100,69.0800,70.4,4956987,2.863822326125076
2021-09-23,SCHW,71.2100,74.4150,71.0400,74.3,5861023,5.539772727272707
2021-09-24,SCHW,74.0300,75.9400,73.9400,75.59,6437441,1.7362045760430878
2021-09-27,SCHW,76.0000,77.6800,75.9400,77.38,6584069,2.368038100277814
2021-09-28,SCHW,77.5000,77.9650,75.4400,76.18,8754748,-1.550788317394658
2021-09-29,SCHW,76.4900,76.5000,74.7300,75.38,6075725,-1.050144394854302
2021-09-30,SCHW,75.9700,75.9700,72.7700,72.84,7077404,-3.3695940567789795
2021-10-01,SCHW,72.9700,74.9400,72.0500,74.42,4814828,2.1691378363536407
2021-10-04,SCHW,74.1700,75.1200,72.9200,73.23,5938698,-1.5990325181402865
2021-10-05,SCHW,73.6600,76.5600,73.6600,75.9,7570195,3.646046702171235
2021-10-06,SCHW,75.0200,76.1100,73.9700,75.71,5731648,-0.25032938076418043
2021-10-07,SCHW,76.5000,77.7500,76.2350,76.39,4560903,0.8981640470215435
2021-10-08,SCHW,76.3300,77.8600,76.1900,77.34,3485149,1.2436182746432767
2021-10-11,SCHW,77.7900,78.9450,76.5500,76.61,4229306,-0.9438841479182836
2021-10-12,SCHW,77.0900,77.9200,76.3500,77.27,6138170,0.8615063307662041
2021-10-13,SCHW,77.5300,77.7200,74.9200,76.27,6066244,-1.2941633234114125
2021-10-14,SCHW,77.2200,78.3800,76.6400,78.11,4802594,2.4124819719417934
2021-10-15,SCHW,79.4200,81.0000,78.3601,80.9,9004395,3.571885802074015
2021-10-18,SCHW,80.7500,81.2400,79.7100,80.55,6323314,-0.4326328800988932
2021-10-19,SCHW,80.5900,81.6300,80.2300,81.54,5346739,1.2290502793296243
2021-10-20,SCHW,81.1400,81.8100,80.5800,81.59,6157223,0.06131959774342555
2021-10-21,SCHW,81.5000,82.5700,80.7400,82.24,5937967,0.7966662581198491
2021-10-22,SCHW,82.3700,83.7400,82.2600,83.55,5740150,1.5928988326848303
2021-10-25,SCHW,83.6900,84.0100,82.8500,82.89,4213551,-0.789946140035902
2021-10-26,SCHW,83.4900,84.4900,83.0200,83.06,6362435,0.20509108456991942
2021-10-27,SCHW,82.6650,83.7300,81.0900,81.15,6539212,-2.299542499398022
2021-10-28,SCHW,81.5100,82.4000,81.3400,81.99,3579590,1.0351201478743022
2021-10-29,SCHW,82.0000,82.7100,81.7400,82.03,4421878,0.048786437370429425
2021-11-01,SCHW,82.5500,82.7800,81.4100,81.87,3899875,-0.19505059124710344
2021-11-02,SCHW,81.8800,82.5200,81.3800,81.77,3540944,-0.12214486380848211
2021-11-03,SCHW,81.7100,83.8500,81.5100,83.33,7051698,1.9077901430842648
2021-11-04,SCHW,82.9500,83.1250,80.3100,81.45,5782866,-2.256090243609743
2021-11-05,SCHW,82.1000,82.9600,80.8200,81.15,4107598,-0.36832412523020164
2021-11-08,SCHW,81.7200,82.6600,81.3800,81.68,3420199,0.6531115218730843
2021-11-09,SCHW,80.9000,81.3600,79.9300,80.78,3938278,-1.1018609206660201
2021-11-10,SCHW,80.3300,81.0700,79.8200,80.75,4738971,-0.037137905422135464
2021-11-11,SCHW,81.2100,82.0800,80.5700,81.4,2794867,0.804953560371513
2021-11-12,SCHW,81.3400,82.3160,80.6100,82.11,4613381,0.8722358722358603
2021-11-15,SCHW,82.4900,82.5500,81.6200,81.92,3302415,-0.23139690658872114
2021-11-16,SCHW,81.7400,82.1650,81.0500,81.81,4383187,-0.13427734375
2021-11-17,SCHW,81.5300,81.7500,80.1500,81.42,5613459,-0.47671433810048125
