,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,V,223.8600,225.2000,222.7500,224.33,5928460,
2021-09-17,V,222.4500,223.7000,219.3000,221.75,13833000,-1.1500913832300674
2021-09-20,V,216.9600,220.5000,216.3100,220.05,8822592,-0.7666290868094672
2021-09-21,V,220.7500,222.1700,218.9800,220.17,7033629,0.05453306066802721
2021-09-22,V,221.4000,224.1000,221.1000,222.75,6005862,1.171821774083659
2021-09-23,V,225.0000,228.7000,224.3600,228.31,7952748,2.4960718294051665
2021-09-24,V,228.9300,231.9500,228.6200,231.59,6461244,1.4366431606149588
2021-09-27,V,231.7200,233.3300,228.7700,229.6,6881067,-0.8592771708623048
2021-09-28,V,228.8700,228.8700,224.0000,225.56,6951365,-1.759581881533101
2021-09-29,V,226.8000,229.0200,226.0900,226.68,6432682,0.49654194006030217
2021-09-30,V,227.5800,228.7855,222.6300,222.75,7134206,-1.7337215457914223
2021-10-01,V,224.1700,231.5600,223.4700,230.46,7925368,3.461279461279454
2021-10-04,V,230.0000,230.3300,220.8100,224.73,10283388,-2.486331684457177
2021-10-05,V,225.4800,227.3800,223.9200,224.28,5813999,-0.2002402883460097
2021-10-06,V,222.0400,226.6200,221.2500,226.51,5420941,0.994292848225431
2021-10-07,V,228.9100,231.1600,228.4900,230.55,6561920,1.7835857136550448
2021-10-08,V,231.0000,232.7335,230.1800,230.27,3735169,-0.12144870960746346
2021-10-11,V,230.0100,230.3150,224.8700,225.11,5620197,-2.2408477005254723
2021-10-12,V,225.5600,226.2200,222.9200,224.05,5448215,-0.4708809026698013
2021-10-13,V,223.1300,225.8600,218.6300,222.46,9077425,-0.7096630216469557
2021-10-14,V,224.1200,225.6500,223.0600,225.18,5591944,1.2226917198597587
2021-10-15,V,227.2200,231.0900,226.7300,230.99,6355056,2.5801580957456327
2021-10-18,V,230.1800,232.7600,228.1430,230.65,5580210,-0.1471925191566803
2021-10-19,V,231.9500,233.6400,230.6800,233.52,4409660,1.244309559939305
2021-10-20,V,233.4550,233.8000,231.3100,231.42,5401813,-0.8992805755395739
2021-10-21,V,230.7000,230.8300,226.3000,230.24,5982197,-0.5098954282257262
2021-10-22,V,230.2900,232.8200,228.7100,231.23,3788001,0.42998610145934535
2021-10-25,V,233.4500,234.8600,232.2900,233.88,4938664,1.1460450633568264
2021-10-26,V,235.5300,236.9600,231.3300,231.82,7814503,-0.880793569351801
2021-10-27,V,224.7500,224.7500,215.6600,215.78,22958064,-6.919161418341813
2021-10-28,V,219.2500,219.9900,209.0100,209.84,23199407,-2.7528037816294315
