,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-09-16,WFC,46.9000,47.2700,46.0050,46.28,24102388,
2021-09-17,WFC,45.7400,46.6850,45.7400,46.47,35634049,0.41054451166810946
2021-09-20,WFC,45.0300,45.8700,44.8400,45.81,30603110,-1.42027114267268
2021-09-21,WFC,45.9750,46.3550,45.7301,45.85,23049147,0.08731717965508867
2021-09-22,WFC,46.4900,47.6850,46.4700,47.08,29430711,2.682660850599783
2021-09-23,WFC,47.4600,48.1700,47.1550,47.8,21852833,1.5293118096856295
2021-09-24,WFC,47.7800,48.5700,47.7300,47.92,20384668,0.2510460251046176
2021-09-27,WFC,48.3800,48.9400,46.1600,47.56,48927455,-0.7512520868113493
2021-09-28,WFC,47.0100,47.0300,45.0650,45.92,49349105,-3.4482758620689613
2021-09-29,WFC,46.4500,47.1500,45.9300,47.03,21730185,2.417247386759591
2021-09-30,WFC,47.1400,47.1500,46.1200,46.41,22947456,-1.3183074633212888
2021-10-01,WFC,46.5500,47.3100,46.4900,47.02,18021686,1.3143719026072143
2021-10-04,WFC,47.0200,47.6900,46.6700,47.02,22315163,0.0
2021-10-05,WFC,47.5000,48.4500,47.3500,47.96,20250450,1.9991492981709769
2021-10-06,WFC,47.5800,48.0850,47.0600,47.87,17425672,-0.1876563803169362
2021-10-07,WFC,48.2600,48.5900,47.5400,47.76,19272290,-0.22978901190724432
2021-10-08,WFC,47.8700,48.3400,47.6550,48.0,14295435,0.5025125628140836
2021-10-11,WFC,48.2000,48.4600,47.2200,47.28,15387863,-1.5000000000000013
2021-10-12,WFC,47.2900,47.5300,46.5150,46.65,18995676,-1.3324873096446699
2021-10-13,WFC,46.5700,46.5700,45.2200,46.05,24150340,-1.2861736334405127
2021-10-14,WFC,46.6750,46.8900,44.8300,45.31,53257733,-1.6069489685124783
2021-10-15,WFC,45.7200,48.7400,45.7100,48.38,60096554,6.775546237033758
2021-10-18,WFC,48.1900,49.7100,48.1400,49.43,33842717,2.170318313352615
2021-10-19,WFC,49.6400,50.3500,49.2800,50.34,26500344,1.84098725470363
2021-10-20,WFC,50.1900,50.3900,49.7100,50.16,24227929,-0.35756853396902155
2021-10-21,WFC,49.9500,50.6000,49.7550,50.33,20448349,0.3389154704944275
2021-10-22,WFC,50.5400,51.1150,50.4900,50.66,21517194,0.655672561096754
2021-10-25,WFC,50.8900,51.1202,50.5150,50.62,19330320,-0.07895775759968471
2021-10-26,WFC,50.7250,51.1000,50.3600,50.63,18196320,0.019755037534574527
2021-10-27,WFC,50.2600,50.9900,49.9500,50.05,21988272,-1.1455658700375349
2021-10-28,WFC,50.3800,51.4000,50.3500,51.36,26785492,2.6173826173826242
2021-10-29,WFC,51.2500,51.6400,51.0200,51.16,19788549,-0.3894080996884819
2021-11-01,WFC,51.5600,52.0000,51.2700,51.71,18337415,1.0750586395621653
2021-11-02,WFC,51.5400,51.7150,51.2200,51.3,17957193,-0.7928833881260977
2021-11-03,WFC,51.0400,52.5650,51.0200,52.0,24225733,1.3645224171540127
2021-11-04,WFC,51.5500,51.7000,49.9050,50.62,32005730,-2.653846153846162
2021-11-05,WFC,51.0000,51.6050,50.4000,50.44,23443239,-0.35559067562228597
2021-11-08,WFC,50.5500,51.3700,50.5500,50.87,19509514,0.852498017446468
2021-11-09,WFC,50.4950,50.5600,49.2100,49.89,27952382,-1.9264792608610137
2021-11-10,WFC,49.7400,50.7665,49.6800,50.36,19827762,0.9420725596311907
2021-11-11,WFC,50.4200,50.9100,50.2200,50.59,16069704,0.45671167593328565
2021-11-12,WFC,50.6800,51.0000,50.3700,50.96,16746102,0.7313698359359577
2021-11-15,WFC,51.1900,51.6950,50.9750,51.08,20110198,0.23547880690737433
2021-11-16,WFC,51.1103,51.1800,50.1700,50.37,19244872,-1.3899765074393167
2021-11-17,WFC,50.4200,50.6900,49.5300,49.84,17802697,-1.052213619217779
2021-11-18,WFC,49.6300,50.1800,49.2700,49.9,19199348,0.12038523274477964
2021-11-19,WFC,49.0000,49.2374,47.7700,48.82,30549683,-2.164328657314629
2021-11-22,WFC,50.6300,51.1100,49.7300,50.34,28555882,3.113478082752974
2021-11-23,WFC,50.7100,51.7400,50.7000,51.4,28026368,2.105681366706391
2021-11-24,WFC,51.5100,51.7400,51.1800,51.31,18901905,-0.17509727626457972
2021-11-26,WFC,49.1000,49.1000,47.6900,48.43,29919279,-5.6129409471837866
2021-11-29,WFC,49.6650,49.7700,48.3128,49.16,27677041,1.507330167251708
2021-11-30,WFC,48.1100,48.5100,47.3150,47.78,40671735,-2.8071602929210626
2021-12-01,WFC,48.6900,49.4500,47.1800,47.21,29374136,-1.192967768940978
2021-12-02,WFC,47.7300,49.4000,47.5100,48.91,29184929,3.6009320059309458
2021-12-03,WFC,49.2600,49.2600,47.3700,47.75,29221906,-2.3717031281946355
2021-12-06,WFC,48.9800,49.9000,48.7100,48.81,31650111,2.219895287958118
2021-12-07,WFC,49.4600,50.5150,49.3400,50.25,28370162,2.950215119852495
2021-12-08,WFC,50.1800,50.3100,49.3150,49.41,19990328,-1.6716417910447867
2021-12-09,WFC,49.0200,50.0300,48.7400,49.69,16927160,0.5666869054847146
2021-12-10,WFC,50.2900,50.6000,49.5800,50.2,20040918,1.026363453411161
2021-12-13,WFC,49.9000,49.9600,48.4300,48.56,19598933,-3.266932270916334
2021-12-14,WFC,48.6100,49.4900,48.6000,48.89,17602886,0.6795716639209193
2021-12-15,WFC,49.0200,49.2700,48.1300,48.94,20284287,0.10227040294539247
2021-12-16,WFC,49.7200,50.8150,49.3126,50.3,32781050,2.778912954638324
2021-12-17,WFC,49.7000,49.7300,47.8700,47.95,74918975,-4.671968190854859
2021-12-20,WFC,47.0600,47.1700,46.2500,46.85,29134897,-2.294056308654857
2021-12-21,WFC,47.5900,48.1400,47.3400,47.81,21249436,2.0490928495197513
2021-12-22,WFC,47.7400,48.3150,47.6200,48.03,15688025,0.4601547793348537
2021-12-23,WFC,48.4000,48.9300,48.2200,48.36,16025616,0.6870705808869504
2021-12-27,WFC,48.5500,48.8150,48.0800,48.77,11900424,0.8478081058726383
2021-12-28,WFC,48.5600,49.1910,48.3600,48.42,14326456,-0.7176542956735754
2021-12-29,WFC,48.6000,48.8550,48.3700,48.45,14390706,0.061957868649331616
2021-12-30,WFC,48.4900,48.9050,48.0400,48.1,13701312,-0.7223942208462342
2021-12-31,WFC,48.0300,48.3600,47.8400,47.98,12520110,-0.2494802494802606
2022-01-03,WFC,48.9300,50.8100,48.9150,50.73,38987829,5.731554814506046
2022-01-04,WFC,51.5800,53.1450,51.5200,52.75,43855114,3.981864774295296
2022-01-05,WFC,52.9200,53.1400,51.9950,52.29,35072561,-0.8720379146919477
2022-01-06,WFC,53.1500,53.6700,52.6600,53.63,29720783,2.5626314782941417
2022-01-07,WFC,53.8600,55.1900,53.8000,54.77,35149255,2.125675927652426
2022-01-10,WFC,55.5000,56.0573,54.4800,55.35,34733481,1.0589738908161284
2022-01-11,WFC,55.5600,56.1300,55.2300,56.06,24800272,1.2827461607949342
2022-01-12,WFC,56.4100,56.7050,55.7600,56.4,34159376,0.6064930431680216
2022-01-13,WFC,56.6000,57.1800,55.7600,56.0,34037310,-0.7092198581560294
2022-01-14,WFC,56.8500,58.8700,56.3900,58.06,56739623,3.678571428571442
2022-01-18,WFC,57.7150,58.1100,56.5050,56.69,40473324,-2.3596279710644263
2022-01-19,WFC,57.1101,57.6750,55.4700,55.57,34741099,-1.9756570823778352
2022-01-20,WFC,55.7200,56.3800,54.9100,55.0,26972805,-1.0257333093395715
2022-01-21,WFC,54.5000,55.0000,53.1300,53.67,38357592,-2.4181818181818193
2022-01-24,WFC,52.7300,53.4900,51.1800,53.32,48559385,-0.6521334078628649
2022-01-25,WFC,52.6700,53.7300,51.5500,53.59,40858674,0.5063765941485388
2022-01-26,WFC,53.9100,54.9200,53.4300,54.14,39687068,1.026310878895309
2022-01-27,WFC,54.6000,55.5050,53.2300,53.76,34218490,-0.7018840044329511
2022-01-28,WFC,53.6100,54.2200,52.7700,54.19,35519701,0.7998511904761862
2022-01-31,WFC,53.8200,54.0504,53.0300,53.8,34657457,-0.7196899797010547
2022-02-01,WFC,54.7200,55.8050,53.9900,55.6,35870234,3.3457249070631967
2022-02-02,WFC,55.2700,56.0500,54.9600,55.93,29037133,0.5935251798561136
2022-02-03,WFC,55.8400,56.2850,54.7250,55.17,25227381,-1.358841408903988
2022-02-04,WFC,56.0400,57.0400,55.4700,56.33,33622141,2.1025919883994826
2022-02-07,WFC,56.4100,57.8850,55.9100,57.33,37480071,1.7752529735487244
2022-02-08,WFC,58.0000,58.9827,57.8000,58.75,39099621,2.4768881911739093
2022-02-09,WFC,58.7000,59.3800,58.3400,59.06,25883079,0.5276595744680979
2022-02-10,WFC,59.5500,60.3000,58.8000,59.05,36092028,-0.01693193362682921
2022-02-11,WFC,58.5200,60.2400,57.9100,58.31,38650503,-1.25317527519051
2022-02-14,WFC,58.5100,58.6500,57.1800,57.85,32680507,-0.7888869833647782
2022-02-15,WFC,59.1200,59.3150,58.0900,58.38,18230309,0.9161624891961928
2022-02-16,WFC,57.9100,58.8800,57.5500,58.14,22057183,-0.41109969167523186
2022-02-17,WFC,57.1500,57.5300,55.7550,56.15,24946481,-3.4227726178190587
2022-02-18,WFC,56.1500,56.7200,55.3700,55.63,22137850,-0.9260908281389035
2022-02-22,WFC,55.5700,56.1200,54.6970,55.28,26736457,-0.6291569297141808
2022-02-23,WFC,55.8500,56.0200,53.7599,53.95,21860660,-2.4059334298118684
2022-02-24,WFC,51.7600,52.8300,50.6750,52.71,40917573,-2.2984244670991694
2022-02-25,WFC,53.1700,54.4400,53.0900,54.11,27493473,2.6560424966799445
2022-02-28,WFC,52.6300,53.4000,52.2100,53.37,31094793,-1.3675845499907635
2022-03-01,WFC,52.4350,52.7200,50.0100,50.29,54135517,-5.771032415214538
2022-03-02,WFC,51.3200,52.8150,51.0000,52.22,34894295,3.837741101610659
2022-03-03,WFC,52.3500,52.5600,50.9400,51.24,24159705,-1.8766756032171483
2022-03-04,WFC,50.0400,50.0582,48.1750,48.79,35895277,-4.781420765027333
2022-03-07,WFC,48.5800,48.5800,45.7700,45.81,56332477,-6.107808977249429
2022-03-08,WFC,46.6800,48.2000,46.3500,46.46,60018106,1.4189041693953186
2022-03-09,WFC,48.7900,49.7500,48.3500,49.16,34560188,5.811450710288413
2022-03-10,WFC,48.2600,49.5700,47.8500,49.01,26178780,-0.3051261187957621
2022-03-11,WFC,49.6700,50.0000,48.4300,48.47,23707064,-1.1018159559273655
2022-03-14,WFC,49.6600,50.3771,49.2950,49.86,28166599,2.8677532494326474
2022-03-15,WFC,50.1600,50.6300,49.3300,50.11,25080554,0.5014039310068164
2022-03-16,WFC,51.0500,52.2150,50.7250,51.6,34672817,2.9734583915386192
2022-03-17,WFC,51.0200,51.4900,50.2250,51.48,29930253,-0.23255813953488857
2022-03-18,WFC,50.8500,51.5400,50.0350,51.42,60268146,-0.11655011655010705
2022-03-21,WFC,51.6600,51.8001,50.6099,51.14,21356181,-0.5445352003111692
2022-03-22,WFC,52.4100,54.2000,52.3000,53.39,28212175,4.399687133359409
2022-03-23,WFC,52.7600,53.0500,51.0950,51.12,27988681,-4.251732534182439
